	# of test images	max score(%)	min score(%)	average precision(%)
apple	140	1	0.264783889	0.545067061
artichoke	95	1	0.369657815	0.892438815
bagel	87	1	0.549694836	0.585050242
banana	88	1	0.200699732	0.507409157
bell pepper	68	1	0.824756622	0.499724987
burrito	84	0.999999762	0.519549906	0.612653532
cucumber	77	1	0.300878435	0.643468151
fig	53	1	0.546308517	0.786087425
guacamole	90	1	0.239514932	0.705645325
hamburger	72	0.99999845	0.603895009	0.828130823
lemon	86	1	0.386821419	0.528258098
milk can	73	1	0.297767103	0.88978692
mushroom	75	1	0.541999757	0.852345621
pineapple	64	1	0.291449964	0.780854386
pizza	104	1	0.347748697	0.787071923
pomegranate	79	1	0.657246113	0.816572798
popsicle	87	1	0.310411751	0.799479118
pretzel	66	1	0.377916098	0.828341037
strawberry	83	1	0.445637554	0.581267044
water bottle	87	1	0.379222751	0.48938447
wine bottle	73	1	0.415475398	0.66682737
